id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
9625,Dia memotong rumput liar di halaman depan.,0.0,,,,non_idiom,non_idiom,non_idiom
9626,"Ibu memarut kelapa, lalu memerasnya menjadi santan.",0.0,,,,non_idiom,non_idiom,non_idiom
9627,"Ayo, kita bersihkan halaman depan!",0.0,,,,non_idiom,non_idiom,non_idiom
9628,Ibu menyiapkan jus alpukat untuk sarapan.,0.0,,,,non_idiom,non_idiom,non_idiom
9629,Dina tidak hadir karena sedang sakit.,0.0,,,,non_idiom,non_idiom,non_idiom
9630,"Ayah memotong rumput, sementara ibu menyiram tanaman.",0.0,,,,non_idiom,non_idiom,non_idiom
9631,"Jangan lupa membawa payung, cuaca mendung!",0.0,,,,non_idiom,non_idiom,non_idiom
9632,Anak-anak bermain petak umpet di perumahan.,0.0,,,,non_idiom,non_idiom,non_idiom
9633,"Setelah pulang kantor, Pak Hadi langsung beristirahat.",0.0,,,,non_idiom,non_idiom,non_idiom
9634,"Karena tidak ada tiket pesawat, mereka naik kereta.",0.0,,,,non_idiom,non_idiom,non_idiom
9635,Dia mencuci mobil dengan sabun khusus.,0.0,,,,non_idiom,non_idiom,non_idiom
9636,"Tolong jangan menggeser lemari itu, masih ada kabel!",0.0,,,,non_idiom,non_idiom,non_idiom
9637,"Hati-hati, ada duri di kursi!",0.0,,,,non_idiom,non_idiom,non_idiom
9638,"Meskipun sudah lulus, ia masih sering berkunjung ke kampus.",0.0,,,,non_idiom,non_idiom,non_idiom
9639,"Rian membeli motor bekas, tetapi mesinnya bagus.",0.0,,,,non_idiom,non_idiom,non_idiom
9640,"Aduh, jari tangan terkena lem!",0.0,,,,non_idiom,non_idiom,non_idiom
9641,"Pak Guru memanggil murid itu, lalu menanyakan alasannya.",0.0,,,,non_idiom,non_idiom,non_idiom
9642,Mereka berangkat ke bandara menggunakan taksi.,0.0,,,,non_idiom,non_idiom,non_idiom
9643,"Selamat ulang tahun, semoga panjang umur dan sukses!",0.0,,,,non_idiom,non_idiom,non_idiom
9644,Dia merapikan buku-buku di rak perpustakaan.,0.0,,,,non_idiom,non_idiom,non_idiom
9645,Ibu menumis bumbu hingga harum.,0.0,,,,non_idiom,non_idiom,non_idiom
9646,Pohon beringin di alun-alun sangat rindang.,0.0,,,,non_idiom,non_idiom,non_idiom
9647,"Ayo, segera mandi sebelum adzan maghrib!",0.0,,,,non_idiom,non_idiom,non_idiom
9648,"Meskipun harga naik, ibu tetap membeli kebutuhan.",0.0,,,,non_idiom,non_idiom,non_idiom
9649,Rina tidak ikut rekreasi karena harus menjaga adik.,0.0,,,,non_idiom,non_idiom,non_idiom
9650,"Ayah memperbaiki mesin pompa air, sementara ibu menyiram tanaman.",0.0,,,,non_idiom,non_idiom,non_idiom
9651,Mereka bergantian menjaga toko kelontong.,0.0,,,,non_idiom,non_idiom,non_idiom
9652,Dia memeluk boneka kesayangannya saat tidur.,0.0,,,,non_idiom,non_idiom,non_idiom
9653,Ayah membersihkan kipas angin dari debu.,0.0,,,,non_idiom,non_idiom,non_idiom
9654,Ibu membeli telur satu papan di toko.,0.0,,,,non_idiom,non_idiom,non_idiom
9655,"Ibu menyiapkan sarapan, lalu membangunkan anak-anak.",0.0,,,,non_idiom,non_idiom,non_idiom
9656,Tolong jangan membuka jendela terlalu lebar!,0.0,,,,non_idiom,non_idiom,non_idiom
9657,Mereka bermain catur di teras rumah.,0.0,,,,non_idiom,non_idiom,non_idiom
9658,Dia mengisi bensin di pompa swalayan.,0.0,,,,non_idiom,non_idiom,non_idiom
9659,"Pak Camat mengunjungi pasar, lalu berdialog dengan pedagang.",0.0,,,,non_idiom,non_idiom,non_idiom
9660,"Aduh, dompetku tertinggal di dalam bus!",0.0,,,,non_idiom,non_idiom,non_idiom
9661,"Rudi dan Rina pergi ke pantai, tetapi mereka lupa membawa kamera.",0.0,,,,non_idiom,non_idiom,non_idiom
9662,Anak-anak berlari-larian di taman kota.,0.0,,,,non_idiom,non_idiom,non_idiom
9663,Dia menempel stiker di dinding kamarnya.,0.0,,,,non_idiom,non_idiom,non_idiom
9664,Ibu menjahit kancing baju yang lepas.,0.0,,,,non_idiom,non_idiom,non_idiom
9665,"Ibu memotong bawang, lalu menumisnya dengan minyak.",0.0,,,,non_idiom,non_idiom,non_idiom
9666,"Ayo, segera selesaikan tugas kelompokmu!",0.0,,,,non_idiom,non_idiom,non_idiom
9667,"Meskipun sederhana, rumah itu sangat bersih.",0.0,,,,non_idiom,non_idiom,non_idiom
9668,Dian tidak masuk kerja karena ada urusan keluarga.,0.0,,,,non_idiom,non_idiom,non_idiom
9669,Mereka memasak nasi uduk untuk sarapan.,0.0,,,,non_idiom,non_idiom,non_idiom
9670,Dia menyalakan kompor dengan korek api.,0.0,,,,non_idiom,non_idiom,non_idiom
9671,Ayah mengecat pagar rumah warna hijau.,0.0,,,,non_idiom,non_idiom,non_idiom
9672,Ibu mengupas kentang untuk bahan sayur.,0.0,,,,non_idiom,non_idiom,non_idiom
9673,Mereka menyiram tanaman hias di teras.,0.0,,,,non_idiom,non_idiom,non_idiom
9674,Dia mematikan lampu kamar sebelum tidur.,0.0,,,,non_idiom,non_idiom,non_idiom
9675,Anak-anak menangkap belalang di sawah.,0.0,,,,non_idiom,non_idiom,non_idiom
9676,Dia menimbang beras dengan timbangan duduk.,0.0,,,,non_idiom,non_idiom,non_idiom
9677,Ibu memarut kelapa untuk membuat santan.,0.0,,,,non_idiom,non_idiom,non_idiom
9678,Mereka membersihkan sarang laba-laba di langit-langit.,0.0,,,,non_idiom,non_idiom,non_idiom
9679,Dia menaruh vas bunga di atas meja tamu.,0.0,,,,non_idiom,non_idiom,non_idiom
9680,Ayah memukul paku dengan palu.,0.0,,,,non_idiom,non_idiom,non_idiom
9681,Ibu meniriskan gorengan di atas kertas minyak.,0.0,,,,non_idiom,non_idiom,non_idiom
9682,Mereka mengangkat meja kayu yang berat.,0.0,,,,non_idiom,non_idiom,non_idiom
9683,Dia menyetel alarm agar bangun pagi.,0.0,,,,non_idiom,non_idiom,non_idiom
9684,Anak-anak membangun istana pasir di pantai.,0.0,,,,non_idiom,non_idiom,non_idiom
9685,Dia mencuci beras sebelum dimasak.,0.0,,,,non_idiom,non_idiom,non_idiom
9686,Ibu mengaduk adonan kue dengan mixer.,0.0,,,,non_idiom,non_idiom,non_idiom
9687,Mereka berkebun di halaman belakang.,0.0,,,,non_idiom,non_idiom,non_idiom
9688,Dia mengganti sprei tempat tidur.,0.0,,,,non_idiom,non_idiom,non_idiom
9689,Ayah memotong daging untuk sate.,0.0,,,,non_idiom,non_idiom,non_idiom
9690,Ibu menaruh bumbu di dalam panci.,0.0,,,,non_idiom,non_idiom,non_idiom
9691,Mereka menyusun kursi untuk acara.,0.0,,,,non_idiom,non_idiom,non_idiom
9692,Dia mengelap meja makan dengan kain basah.,0.0,,,,non_idiom,non_idiom,non_idiom
9693,Anak-anak meniup balon untuk pesta.,0.0,,,,non_idiom,non_idiom,non_idiom
9694,Dia membuka jendela setiap pagi.,0.0,,,,non_idiom,non_idiom,non_idiom
9695,Ibu menjemur pakaian di tali jemuran.,0.0,,,,non_idiom,non_idiom,non_idiom
9696,Mereka memotong kertas untuk kerajinan.,0.0,,,,non_idiom,non_idiom,non_idiom
9697,Dia memegang erat tangan nenek.,0.0,,,,non_idiom,non_idiom,non_idiom
9698,Ayah memperbaiki keran yang bocor.,0.0,,,,non_idiom,non_idiom,non_idiom
9699,Ibu mencampur tepung dan gula.,0.0,,,,non_idiom,non_idiom,non_idiom
9700,Mereka memindahkan pot bunga ke halaman.,0.0,,,,non_idiom,non_idiom,non_idiom
9701,Dia menggosok gigi dengan pasta gigi.,0.0,,,,non_idiom,non_idiom,non_idiom
9702,Anak-anak bersepeda keliling kompleks.,0.0,,,,non_idiom,non_idiom,non_idiom
9703,Dia memijat punggung ayah yang lelah.,0.0,,,,non_idiom,non_idiom,non_idiom
9704,Ibu menyekop sampah ke dalam karung.,0.0,,,,non_idiom,non_idiom,non_idiom
9705,Mereka mendorong gerobak di pasar.,0.0,,,,non_idiom,non_idiom,non_idiom
9706,Dia mengisi air ke dalam ember.,0.0,,,,non_idiom,non_idiom,non_idiom
9707,Ayah memarkir mobil di garasi.,0.0,,,,non_idiom,non_idiom,non_idiom
9708,Ibu mengukur beras dengan cangkir takar.,0.0,,,,non_idiom,non_idiom,non_idiom
9709,Mereka mengecat dinding kamar warna biru.,0.0,,,,non_idiom,non_idiom,non_idiom
9710,Dia melipat pakaian yang sudah kering.,0.0,,,,non_idiom,non_idiom,non_idiom
9711,Anak-anak menggambar di buku gambar.,0.0,,,,non_idiom,non_idiom,non_idiom
9712,Dia menulis puisi di buku harian.,0.0,,,,non_idiom,non_idiom,non_idiom
9713,Ibu menambahkan air ke dalam adonan.,0.0,,,,non_idiom,non_idiom,non_idiom
9714,Mereka membersihkan debu di atas lemari.,0.0,,,,non_idiom,non_idiom,non_idiom
9715,Dia memotong kuku adiknya.,0.0,,,,non_idiom,non_idiom,non_idiom
9716,Ayah membaca instruksi perakitan furnitur.,0.0,,,,non_idiom,non_idiom,non_idiom
9717,Ibu mengocok telur di mangkuk.,0.0,,,,non_idiom,non_idiom,non_idiom
9718,Mereka menempelkan foto di album.,0.0,,,,non_idiom,non_idiom,non_idiom
9719,Dia menyandarkan sepeda di tembok.,0.0,,,,non_idiom,non_idiom,non_idiom
9720,Anak-anak mengejar kupu-kupu di taman.,0.0,,,,non_idiom,non_idiom,non_idiom
9721,Dia mengoleskan mentega ke roti.,0.0,,,,non_idiom,non_idiom,non_idiom
9722,Ibu merebus sayuran hingga matang.,0.0,,,,non_idiom,non_idiom,non_idiom
9723,Mereka mengangkat kotak ke atas truk.,0.0,,,,non_idiom,non_idiom,non_idiom
9724,Dia menata sendok dan garpu di meja.,0.0,,,,non_idiom,non_idiom,non_idiom
9725,Ayah mengencangkan baut dengan obeng.,0.0,,,,non_idiom,non_idiom,non_idiom
9726,Ibu menyisir rambut adik.,0.0,,,,non_idiom,non_idiom,non_idiom
9727,Mereka menyiram tanaman dengan pupuk cair.,0.0,,,,non_idiom,non_idiom,non_idiom
9728,Dia menyimpan obat di lemari pendingin.,0.0,,,,non_idiom,non_idiom,non_idiom
9729,Anak-anak menonton pertunjukan boneka.,0.0,,,,non_idiom,non_idiom,non_idiom
9730,Dia menyalakan kipas angin karena gerah.,0.0,,,,non_idiom,non_idiom,non_idiom
9731,Ibu mengupas bawang putih.,0.0,,,,non_idiom,non_idiom,non_idiom
9732,Mereka mengikat tali sepatu.,0.0,,,,non_idiom,non_idiom,non_idiom
9733,Dia memotong bambu menjadi bilah.,0.0,,,,non_idiom,non_idiom,non_idiom
9734,Ayah membersihkan filter AC.,0.0,,,,non_idiom,non_idiom,non_idiom
9735,Ibu mencampurkan santan ke dalam gulai.,0.0,,,,non_idiom,non_idiom,non_idiom
9736,Mereka memanggul karung beras.,0.0,,,,non_idiom,non_idiom,non_idiom
9737,Dia menaruh permen di mulut.,0.0,,,,non_idiom,non_idiom,non_idiom
9738,Anak-anak bermain di ayunan taman.,0.0,,,,non_idiom,non_idiom,non_idiom
9739,Dia mengepel lantai dengan kain pel.,0.0,,,,non_idiom,non_idiom,non_idiom
9740,Ibu menggantung jam dinding.,0.0,,,,non_idiom,non_idiom,non_idiom
9741,Mereka memasang spanduk di depan rumah.,0.0,,,,non_idiom,non_idiom,non_idiom
9742,Dia mengunci pintu pagar.,0.0,,,,non_idiom,non_idiom,non_idiom
9743,Ayah menyalakan televisi untuk berita.,0.0,,,,non_idiom,non_idiom,non_idiom
9744,Ibu menuangkan susu ke dalam gelas.,0.0,,,,non_idiom,non_idiom,non_idiom
9745,Mereka mengaduk semen dan pasir.,0.0,,,,non_idiom,non_idiom,non_idiom
9746,Dia menekan tombol lift.,0.0,,,,non_idiom,non_idiom,non_idiom
9747,Anak-anak membaca komik di perpustakaan.,0.0,,,,non_idiom,non_idiom,non_idiom
9748,Dia merapikan tempat tidur.,0.0,,,,non_idiom,non_idiom,non_idiom
9749,Ibu memeras jeruk nipis.,0.0,,,,non_idiom,non_idiom,non_idiom
9750,Mereka membentangkan tikar di ruang tamu.,0.0,,,,non_idiom,non_idiom,non_idiom
9751,Dia mencuci helm motor.,0.0,,,,non_idiom,non_idiom,non_idiom
9752,Ayah membawa kotak peralatan.,0.0,,,,non_idiom,non_idiom,non_idiom
9753,Ibu mengiris sayuran tipis-tipis.,0.0,,,,non_idiom,non_idiom,non_idiom
9754,Mereka menyambung kabel yang putus.,0.0,,,,non_idiom,non_idiom,non_idiom
9755,Dia mematahkan ranting kering.,0.0,,,,non_idiom,non_idiom,non_idiom
9756,Anak-anak menyiram air ke genangan.,0.0,,,,non_idiom,non_idiom,non_idiom
9757,Dia mengipasi wajahnya dengan kipas.,0.0,,,,non_idiom,non_idiom,non_idiom
9758,Ibu menaburkan gula di atas kue.,0.0,,,,non_idiom,non_idiom,non_idiom
9759,Mereka menggaruk punggung yang gatal.,0.0,,,,non_idiom,non_idiom,non_idiom
9760,Dia menyelipkan uang di dompet.,0.0,,,,non_idiom,non_idiom,non_idiom
9761,Ayah mengangkat papan kayu.,0.0,,,,non_idiom,non_idiom,non_idiom
9762,Ibu menumis sayuran dengan minyak.,0.0,,,,non_idiom,non_idiom,non_idiom
9763,Mereka memarkir sepeda motor di halaman.,0.0,,,,non_idiom,non_idiom,non_idiom
9764,Dia menancapkan tongkat ke tanah.,0.0,,,,non_idiom,non_idiom,non_idiom
9765,Anak-anak melempar bola ke keranjang.,0.0,,,,non_idiom,non_idiom,non_idiom
9766,Dia menggosok lantai dengan sikat.,0.0,,,,non_idiom,non_idiom,non_idiom
9767,Ibu meniriskan mie setelah direbus.,0.0,,,,non_idiom,non_idiom,non_idiom
9768,Mereka memotong rumput dengan sabit.,0.0,,,,non_idiom,non_idiom,non_idiom
9769,Dia mengisi gelas dengan air es.,0.0,,,,non_idiom,non_idiom,non_idiom
9770,Ayah mengelap keringat dengan handuk.,0.0,,,,non_idiom,non_idiom,non_idiom
9771,Ibu menyodorkan minuman kepada tamu.,0.0,,,,non_idiom,non_idiom,non_idiom
9772,Mereka membawa keranjang piknik.,0.0,,,,non_idiom,non_idiom,non_idiom
9773,Dia memencet jeruk lemon.,0.0,,,,non_idiom,non_idiom,non_idiom
9774,Anak-anak mengamati semut berbaris.,0.0,,,,non_idiom,non_idiom,non_idiom
9775,Dia membuka tutup botol.,0.0,,,,non_idiom,non_idiom,non_idiom
9776,Ibu mengaduk sup dengan sendok kayu.,0.0,,,,non_idiom,non_idiom,non_idiom
9777,Mereka mengikat karung dengan tali rafia.,0.0,,,,non_idiom,non_idiom,non_idiom
9778,Dia menggeser kursi ke meja.,0.0,,,,non_idiom,non_idiom,non_idiom
9779,Ayah mengetuk pintu tiga kali.,0.0,,,,non_idiom,non_idiom,non_idiom
9780,Ibu mengolesi loyang dengan margarin.,0.0,,,,non_idiom,non_idiom,non_idiom
9781,Mereka memanjat pohon rambutan.,0.0,,,,non_idiom,non_idiom,non_idiom
9782,Dia memegang gagang payung.,0.0,,,,non_idiom,non_idiom,non_idiom
9783,Anak-anak menulis surat untuk sahabat.,0.0,,,,non_idiom,non_idiom,non_idiom
9784,Dia mengupas mangga dengan pisau.,0.0,,,,non_idiom,non_idiom,non_idiom
9785,Ibu menjemur bantal di pagi hari.,0.0,,,,non_idiom,non_idiom,non_idiom
9786,Mereka memasukkan barang ke bagasi.,0.0,,,,non_idiom,non_idiom,non_idiom
9787,Dia menyalakan lampu ruang tamu.,0.0,,,,non_idiom,non_idiom,non_idiom
9788,Ayah membersihkan selang air.,0.0,,,,non_idiom,non_idiom,non_idiom
9789,Ibu menaruh piring di rak.,0.0,,,,non_idiom,non_idiom,non_idiom
9790,Mereka mencampur cat tembok.,0.0,,,,non_idiom,non_idiom,non_idiom
9791,Dia memukul bantal karena kesal.,0.0,,,,non_idiom,non_idiom,non_idiom
9792,Anak-anak membuat prakarya dari kardus.,0.0,,,,non_idiom,non_idiom,non_idiom
9793,Dia menekan sakelar lampu.,0.0,,,,non_idiom,non_idiom,non_idiom
9794,Ibu memotong kue tart.,0.0,,,,non_idiom,non_idiom,non_idiom
9795,Mereka membersihkan wastafel.,0.0,,,,non_idiom,non_idiom,non_idiom
9796,Dia menggulung kabel listrik.,0.0,,,,non_idiom,non_idiom,non_idiom
9797,Ayah menimba air dari sumur.,0.0,,,,non_idiom,non_idiom,non_idiom
9798,Ibu menambahkan garam ke sambal.,0.0,,,,non_idiom,non_idiom,non_idiom
9799,Mereka menjepit pakaian dengan jepitan.,0.0,,,,non_idiom,non_idiom,non_idiom
9800,Dia menyeka cermin hingga bersih.,0.0,,,,non_idiom,non_idiom,non_idiom
9801,Anak-anak bermain congklak di teras.,0.0,,,,non_idiom,non_idiom,non_idiom
9802,Dia mencuci tangan dengan sabun.,0.0,,,,non_idiom,non_idiom,non_idiom
9803,Ibu memeras santan dari kelapa parut.,0.0,,,,non_idiom,non_idiom,non_idiom
9804,Mereka menata bantal di sofa.,0.0,,,,non_idiom,non_idiom,non_idiom
9805,Dia mengunci laptop sebelum pergi.,0.0,,,,non_idiom,non_idiom,non_idiom
9806,Ayah menyalakan kompor gas.,0.0,,,,non_idiom,non_idiom,non_idiom
9807,Ibu membagi kue untuk tetangga.,0.0,,,,non_idiom,non_idiom,non_idiom
9808,Mereka memungut sampah di taman.,0.0,,,,non_idiom,non_idiom,non_idiom
9809,Dia meremas-remas adonan.,0.0,,,,non_idiom,non_idiom,non_idiom
9810,Anak-anak meniru suara binatang.,0.0,,,,non_idiom,non_idiom,non_idiom
9811,Dia menaburkan biji selasih.,0.0,,,,non_idiom,non_idiom,non_idiom
9812,Ibu menggoreng pisang goreng.,0.0,,,,non_idiom,non_idiom,non_idiom
9813,Mereka memindahkan lemari ke pojok.,0.0,,,,non_idiom,non_idiom,non_idiom
9814,Dia menyisir rambut basah.,0.0,,,,non_idiom,non_idiom,non_idiom
9815,Ayah menutup jendela rapat-rapat.,0.0,,,,non_idiom,non_idiom,non_idiom
9816,Ibu menyiram toilet dengan cairan pembersih.,0.0,,,,non_idiom,non_idiom,non_idiom
9817,Mereka mengupas kulit telur rebus.,0.0,,,,non_idiom,non_idiom,non_idiom
9818,Dia mengocok botol minuman.,0.0,,,,non_idiom,non_idiom,non_idiom
9819,Anak-anak menari bersama di aula.,0.0,,,,non_idiom,non_idiom,non_idiom
9820,Dia menjahit lubang di kaos kaki.,0.0,,,,non_idiom,non_idiom,non_idiom
9821,Ibu mencampur bumbu halus.,0.0,,,,non_idiom,non_idiom,non_idiom
9822,Mereka menguras bak mandi.,0.0,,,,non_idiom,non_idiom,non_idiom
9823,Dia membawa payung besar.,0.0,,,,non_idiom,non_idiom,non_idiom
9824,Ayah membersihkan kaca spion.,0.0,,,,non_idiom,non_idiom,non_idiom
9825,Ibu mengecek suhu air.,0.0,,,,non_idiom,non_idiom,non_idiom
9826,Mereka memotong karton untuk kerajinan.,0.0,,,,non_idiom,non_idiom,non_idiom
9827,Dia menendang bola ke gawang.,0.0,,,,non_idiom,non_idiom,non_idiom
9828,Anak-anak memetik bunga di kebun.,0.0,,,,non_idiom,non_idiom,non_idiom
9829,Dia menempel stiker di buku.,0.0,,,,non_idiom,non_idiom,non_idiom
9830,Ibu mengukur tinggi anak.,0.0,,,,non_idiom,non_idiom,non_idiom
9831,Mereka menimbang buah di pasar.,0.0,,,,non_idiom,non_idiom,non_idiom
9832,Dia memotong benang yang tersisa.,0.0,,,,non_idiom,non_idiom,non_idiom
9833,Ayah mengganti aki mobil.,0.0,,,,non_idiom,non_idiom,non_idiom
9834,Ibu mengaduk es teh.,0.0,,,,non_idiom,non_idiom,non_idiom
9835,Mereka menyemprot parfum.,0.0,,,,non_idiom,non_idiom,non_idiom
9836,Dia mengangkat barbel ringan.,0.0,,,,non_idiom,non_idiom,non_idiom
9837,Anak-anak mengejar ayam di halaman.,0.0,,,,non_idiom,non_idiom,non_idiom
9838,Dia memeriksa tekanan ban.,0.0,,,,non_idiom,non_idiom,non_idiom
9839,Ibu mengupas kulit kentang.,0.0,,,,non_idiom,non_idiom,non_idiom
9840,Mereka menjemur kasur.,0.0,,,,non_idiom,non_idiom,non_idiom
9841,Dia memasang gantungan baju.,0.0,,,,non_idiom,non_idiom,non_idiom
9842,Ayah merangkai bunga untuk ibu.,0.0,,,,non_idiom,non_idiom,non_idiom
9843,Ibu membersihkan kipas angin.,0.0,,,,non_idiom,non_idiom,non_idiom
9844,Mereka menyetel radio.,0.0,,,,non_idiom,non_idiom,non_idiom
9845,Dia menggulung selimut.,0.0,,,,non_idiom,non_idiom,non_idiom
9846,Anak-anak mewarnai gambar pemandangan.,0.0,,,,non_idiom,non_idiom,non_idiom
9847,Dia menaruh buku di tas.,0.0,,,,non_idiom,non_idiom,non_idiom
9848,Ibu memanaskan air di panci.,0.0,,,,non_idiom,non_idiom,non_idiom
9849,Mereka menaruh es batu di gelas.,0.0,,,,non_idiom,non_idiom,non_idiom
9850,Dia menyandarkan sapu di dinding.,0.0,,,,non_idiom,non_idiom,non_idiom
9851,Ayah menempelkan pita pada kado.,0.0,,,,non_idiom,non_idiom,non_idiom
9852,Ibu menjahit kain perca.,0.0,,,,non_idiom,non_idiom,non_idiom
9853,Mereka memotong papan dengan gergaji.,0.0,,,,non_idiom,non_idiom,non_idiom
9854,Dia mengikat rambut dengan karet.,0.0,,,,non_idiom,non_idiom,non_idiom
9855,Anak-anak meniup seruling bambu.,0.0,,,,non_idiom,non_idiom,non_idiom
9856,Dia mengoleskan salep di luka.,0.0,,,,non_idiom,non_idiom,non_idiom
9857,Ibu membuang kulit bawang.,0.0,,,,non_idiom,non_idiom,non_idiom
9858,Mereka menaruh telur di keranjang.,0.0,,,,non_idiom,non_idiom,non_idiom
9859,Dia mengepel noda di lantai.,0.0,,,,non_idiom,non_idiom,non_idiom
9860,Ayah membersihkan talenan.,0.0,,,,non_idiom,non_idiom,non_idiom
9861,Ibu mencuci spons cuci piring.,0.0,,,,non_idiom,non_idiom,non_idiom
9862,Mereka mengatur meja rapat.,0.0,,,,non_idiom,non_idiom,non_idiom
9863,Dia mengetuk-ngetuk kaleng cat.,0.0,,,,non_idiom,non_idiom,non_idiom
9864,Anak-anak mengejar balon yang terbang.,0.0,,,,non_idiom,non_idiom,non_idiom
9865,Dia menggosok badan dengan luffa.,0.0,,,,non_idiom,non_idiom,non_idiom
9866,Ibu mengiris daging tipis.,0.0,,,,non_idiom,non_idiom,non_idiom
9867,Mereka menambahkan madu ke teh.,0.0,,,,non_idiom,non_idiom,non_idiom
9868,Dia memanaskan nasi di microwave.,0.0,,,,non_idiom,non_idiom,non_idiom
9869,Ayah mengukur panjang pagar.,0.0,,,,non_idiom,non_idiom,non_idiom
9870,Ibu mengaduk adonan martabak.,0.0,,,,non_idiom,non_idiom,non_idiom
9871,Mereka memeras jeruk untuk jus.,0.0,,,,non_idiom,non_idiom,non_idiom
9872,Dia menekan ibu jari ke adonan.,0.0,,,,non_idiom,non_idiom,non_idiom
9873,Anak-anak memanjat pohon jambu air.,0.0,,,,non_idiom,non_idiom,non_idiom
9874,Dia memukul nyamuk dengan tangan.,0.0,,,,non_idiom,non_idiom,non_idiom
9875,Ibu menaruh sabun di tempat sabun.,0.0,,,,non_idiom,non_idiom,non_idiom
9876,Mereka menyikat bulu kucing.,0.0,,,,non_idiom,non_idiom,non_idiom
9877,Dia membuka tutup panci presto.,0.0,,,,non_idiom,non_idiom,non_idiom
9878,Ayah menyetel kursi mobil.,0.0,,,,non_idiom,non_idiom,non_idiom
9879,Ibu menumpuk piring di rak.,0.0,,,,non_idiom,non_idiom,non_idiom
9880,Mereka menggali lubang untuk pohon.,0.0,,,,non_idiom,non_idiom,non_idiom
9881,Dia memotong kertas dengan gunting.,0.0,,,,non_idiom,non_idiom,non_idiom
9882,Anak-anak menonton pentas seni.,0.0,,,,non_idiom,non_idiom,non_idiom
9883,Dia memijat kaki dengan minyak.,0.0,,,,non_idiom,non_idiom,non_idiom
9884,Ibu membakar sampah daun.,0.0,,,,non_idiom,non_idiom,non_idiom
9885,Mereka mengecat pot bunga.,0.0,,,,non_idiom,non_idiom,non_idiom
9886,Dia mengikat sampah plastik.,0.0,,,,non_idiom,non_idiom,non_idiom
9887,Ayah menyalakan genset.,0.0,,,,non_idiom,non_idiom,non_idiom
9888,Ibu menata bunga di vas.,0.0,,,,non_idiom,non_idiom,non_idiom
9889,Mereka menyambung pipa PVC.,0.0,,,,non_idiom,non_idiom,non_idiom
